iter	Passed	Remaining
427	1931	2581
428	1935	2575
429	1940	2572
430	1944	2566
431	1947	2560
432	1951	2555
433	1957	2552
434	1960	2546
435	1964	2541
436	1969	2536
437	1973	2532
438	1977	2526
439	1980	2521
440	1986	2517
441	1990	2512
442	1993	2506
443	1997	2501
444	2002	2497
445	2006	2492
446	2010	2486
447	2013	2481
448	2018	2477
449	2022	2472
450	2026	2466
451	2029	2461
452	2034	2456
453	2039	2452
454	2042	2446
455	2045	2440
456	2049	2435
457	2054	2431
458	2058	2426
459	2062	2420
460	2066	2416
461	2071	2411
462	2074	2406
463	2078	2400
464	2082	2396
465	2086	2391
466	2090	2386
467	2094	2380
468	2098	2376
469	2103	2371
470	2106	2366
471	2110	2360
472	2114	2356
473	2119	2351
474	2123	2346
475	2127	2341
476	2131	2337
477	2135	2332
478	2139	2326
479	2143	2321
480	2147	2317
481	2151	2312
482	2155	2307
483	2160	2302
484	2165	2299
485	2168	2293
486	2172	2288
487	2175	2282
488	2179	2277
489	2184	2273
490	2187	2268
491	2191	2262
492	2196	2258
493	2201	2255
494	2205	2249
495	2208	2244
496	2214	2241
497	2218	2236
498	2222	2231
499	2226	2226
500	2231	2223
501	2236	2218
502	2240	2213
503	2244	2209
504	2249	2204
505	2253	2199
506	2256	2194
507	2261	2190
508	2265	2185
509	2269	2180
510	2273	2175
511	2279	2172
512	2283	2167
513	2287	2162
514	2290	2157
515	2295	2153
516	2298	2147
517	2303	2143
518	2307	2138
519	2311	2133
520	2314	2128
521	2318	2123
522	2322	2118
523	2327	2114
524	2331	2109
525	2334	2103
526	2338	2099
527	2343	2094
528	2346	2089
529	2350	2084
530	2354	2079
531	2359	2075
532	2363	2070
533	2367	2066
534	2371	2061
535	2376	2057
536	2380	2052
537	2383	2047
538	2387	2042
539	2392	2037
540	2395	2032
541	2399	2028
542	2403	2022
543	2407	2018
544	2411	2013
545	2414	2008
546	2418	2002
547	2422	1997
548	2426	1993
549	2429	1987
550	2433	1982
551	2438	1978
552	2456	1985
553	2462	1982
554	2468	1979
555	2474	1976
556	2478	1971
557	2483	1967
558	2488	1963
559	2492	1958
560	2497	1954
561	2501	1949
562	2506	1945
563	2510	1941
564	2515	1936
565	2521	1933
566	2525	1928
567	2529	1923
568	2533	1918
569	2538	1915
570	2543	1910
571	2547	1906
572	2552	1902
573	2556	1897
574	2561	1893
575	2565	1888
576	2570	1884
577	2574	1879
578	2578	1874
579	2581	1869
580	2586	1865
581	2591	1861
582	2596	1857
583	2601	1853
584	2605	1848
585	2610	1844
586	2614	1839
587	2618	1835
588	2622	1830
589	2628	1826
590	2633	1822
591	2638	1818
592	2642	1813
593	2646	1808
594	2651	1804
595	2655	1799
596	2658	1794
597	2662	1789
598	2667	1785
599	2670	1780
600	2674	1775
601	2677	1770
602	2682	1765
603	2685	1760
604	2688	1755
605	2691	1750
606	2696	1745
607	2702	1742
608	2705	1737
609	2710	1732
610	2714	1728
611	2718	1723
612	2722	1718
613	2726	1713
614	2731	1709
615	2735	1705
616	2739	1700
617	2743	1695
618	2748	1691
619	2752	1687
620	2756	1682
621	2760	1677
622	2765	1673
623	2768	1668
624	2772	1663
