iter	Logloss
0	0.6620165825
1	0.6353088379
2	0.6053435326
3	0.5811078548
4	0.5573940277
5	0.5375970364
6	0.5183865547
7	0.498155117
8	0.4797952652
9	0.4648537159
10	0.45019207
11	0.436445713
12	0.4241587639
13	0.4132040977
14	0.4014648914
15	0.3899571419
16	0.3804073334
17	0.372110939
18	0.3639228106
19	0.3567539692
20	0.3482694626
21	0.3407186508
22	0.3340227604
23	0.327639699
24	0.321582675
25	0.3156912327
26	0.3107413769
27	0.3055756092
28	0.2995555401
29	0.295691824
30	0.2910292864
31	0.286283803
32	0.2818538427
33	0.2781954288
34	0.2742121458
35	0.2704532385
36	0.2667733192
37	0.263340044
38	0.2601102829
39	0.2571739674
40	0.2547110081
41	0.2523097992
42	0.2495955467
43	0.2467867851
44	0.2442280769
45	0.2422644138
46	0.2397171259
47	0.2373691797
48	0.2349773407
49	0.2330156803
50	0.2310215473
51	0.2291227341
52	0.2277494431
53	0.2260155916
54	0.2241217613
55	0.2223958969
56	0.2209388494
57	0.2192977905
58	0.2175951481
59	0.2154369831
60	0.214216423
61	0.2127211332
62	0.2115240097
63	0.2099041462
64	0.2087313414
65	0.2073913813
66	0.2059053421
67	0.204532814
68	0.2029751301
69	0.2018381357
70	0.2004805326
71	0.1993804336
72	0.197500217
73	0.1965797305
74	0.1954782844
75	0.1943261504
76	0.1929865599
77	0.1921328306
78	0.1910257697
79	0.1894243002
80	0.1885676742
81	0.18739537
82	0.1866855145
83	0.1855170012
84	0.1845491648
85	0.1839124322
86	0.1831146479
87	0.1823753834
88	0.1815707088
89	0.1807409406
90	0.179890132
91	0.1790968895
92	0.1782298803
93	0.1774870396
94	0.1767410874
95	0.1759096503
96	0.1751580715
97	0.1745823383
98	0.1738842368
99	0.173039484
100	0.1725098372
101	0.1716299891
102	0.171125555
103	0.1704853535
104	0.1697678566
105	0.1690980554
106	0.1684292436
107	0.1678671837
108	0.1672895074
109	0.1667781353
110	0.1657847166
111	0.1652320862
112	0.1648504257
113	0.1642452121
114	0.1638466597
115	0.163289094
116	0.1627857804
117	0.1617617726
118	0.1612184763
119	0.1606287479
120	0.1598116517
121	0.1592194676
122	0.158667922
123	0.1582060814
